2023-11-25 21:12:14: {'temperature': 30.2, 'humidity': 0.34}
2023-11-25 21:13:33: {'temperature': 29.4, 'humidity': 0.35}
2023-11-25 21:13:34: {'temperature': 29.4, 'humidity': 0.35}
2023-11-25 21:13:35: {'temperature': 29.4, 'humidity': 0.35}
2023-11-25 21:13:36: {'temperature': 29.3, 'humidity': 0.35}
2023-11-25 21:13:37: {'temperature': 29.3, 'humidity': 0.35}
2023-11-25 21:13:38: {'temperature': 29.3, 'humidity': 0.35}
2023-11-25 21:13:39: {'temperature': 29.3, 'humidity': 0.35}
2023-11-25 21:13:40: {'temperature': 29.3, 'humidity': 0.38}
2023-11-25 21:13:41: {'temperature': 29.5, 'humidity': 0.5}
2023-11-25 21:13:42: {'temperature': 30.1, 'humidity': 0.67}
2023-11-25 21:13:43: {'temperature': 30.6, 'humidity': 0.75}
2023-11-25 21:13:44: {'temperature': 30.9, 'humidity': 0.77}
2023-11-25 21:13:45: {'temperature': 31.1, 'humidity': 0.78}
2023-11-25 21:13:46: {'temperature': 31.2, 'humidity': 0.79}
2023-11-25 21:13:47: {'temperature': 31.4, 'humidity': 0.79}
2023-11-25 21:13:48: {'temperature': 31.5, 'humidity': 0.79}
2023-11-25 21:13:49: {'temperature': 31.5, 'humidity': 0.79}
2023-11-25 21:13:50: {'temperature': 31.6, 'humidity': 0.79}
2023-11-25 21:13:51: {'temperature': 31.7, 'humidity': 0.79}
2023-11-25 21:13:52: {'temperature': 31.7, 'humidity': 0.79}
2023-11-25 21:13:54: {'temperature': 31.8, 'humidity': 0.79}
2023-11-25 21:13:55: {'temperature': 31.8, 'humidity': 0.79}
2023-11-25 21:13:56: {'temperature': 31.9, 'humidity': 0.79}
2023-11-25 21:13:57: {'temperature': 31.9, 'humidity': 0.79}
2023-11-25 21:13:58: {'temperature': 31.9, 'humidity': 0.79}
2023-11-25 21:13:59: {'temperature': 31.9, 'humidity': 0.79}
2023-11-25 21:14:00: {'temperature': 32.0, 'humidity': 0.79}
2023-11-25 21:14:01: {'temperature': 32.0, 'humidity': 0.79}
2023-11-25 21:14:02: {'temperature': 32.0, 'humidity': 0.79}
2023-11-25 21:14:03: {'temperature': 32.0, 'humidity': 0.79}
2023-11-25 21:14:04: {'temperature': 32.0, 'humidity': 0.79}
2023-11-25 21:14:05: {'temperature': 32.0, 'humidity': 0.79}
2023-11-25 21:14:10: {'temperature': 31.3, 'humidity': 0.7}
2023-11-25 21:14:11: {'temperature': 31.1, 'humidity': 0.64}
2023-11-25 21:14:12: {'temperature': 31.0, 'humidity': 0.59}
2023-11-25 21:14:14: {'temperature': 30.9, 'humidity': 0.55}
2023-11-25 21:14:15: {'temperature': 30.8, 'humidity': 0.51}
2023-11-25 21:14:16: {'temperature': 30.7, 'humidity': 0.48}
2023-11-25 21:14:17: {'temperature': 30.6, 'humidity': 0.46}
2023-11-25 21:14:18: {'temperature': 30.5, 'humidity': 0.44}
2023-11-25 21:18:21: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:22: {'temperature': 28.8, 'humidity': 0.36}
2023-11-25 21:18:23: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:24: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:25: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:26: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:27: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:28: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:29: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:30: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:31: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:32: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:33: {'temperature': 28.7, 'humidity': 0.36}
2023-11-25 21:18:34: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:36: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:37: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:38: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:39: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:40: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:41: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:42: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:43: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:44: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:45: {'temperature': 28.6, 'humidity': 0.36}
2023-11-25 21:18:46: {'temperature': 28.5, 'humidity': 0.36}
2023-11-25 21:18:47: {'temperature': 28.6, 'humidity': 0.38}
2023-11-25 21:18:48: {'temperature': 29.2, 'humidity': 0.44}
2023-11-25 21:18:49: {'temperature': 30.3, 'humidity': 0.59}
2023-11-25 21:18:50: {'temperature': 31.0, 'humidity': 0.65}
2023-11-25 21:18:51: {'temperature': 31.4, 'humidity': 0.67}
2023-11-25 21:18:52: {'temperature': 31.7, 'humidity': 0.68}
2023-11-25 21:18:53: {'temperature': 31.9, 'humidity': 0.69}
2023-11-25 21:19:03: {'temperature': 31.4, 'humidity': 0.46}
2023-11-25 21:19:04: {'temperature': 31.2, 'humidity': 0.42}
2023-11-25 21:19:06: {'temperature': 30.9, 'humidity': 0.39}
2023-11-25 21:19:07: {'temperature': 30.7, 'humidity': 0.38}
2023-11-25 21:19:08: {'temperature': 30.6, 'humidity': 0.37}
2023-11-25 21:19:09: {'temperature': 30.5, 'humidity': 0.37}
2023-11-25 21:19:10: {'temperature': 30.4, 'humidity': 0.37}
2023-11-25 21:19:11: {'temperature': 30.3, 'humidity': 0.36}
2023-11-25 21:19:12: {'temperature': 30.3, 'humidity': 0.36}
2023-11-25 21:19:13: {'temperature': 30.2, 'humidity': 0.36}
2023-11-25 21:19:14: {'temperature': 30.2, 'humidity': 0.36}
2023-11-25 21:19:15: {'temperature': 30.1, 'humidity': 0.36}
2023-11-25 21:19:17: {'temperature': 30.1, 'humidity': 0.36}
2023-11-25 21:19:18: {'temperature': 30.0, 'humidity': 0.36}
2023-11-25 21:19:19: {'temperature': 29.9, 'humidity': 0.36}
2023-11-25 21:19:20: {'temperature': 29.9, 'humidity': 0.36}
2023-11-25 21:19:21: {'temperature': 29.8, 'humidity': 0.36}
2023-11-25 21:19:22: {'temperature': 29.8, 'humidity': 0.36}
2023-11-25 21:19:23: {'temperature': 29.8, 'humidity': 0.36}
2023-11-25 21:19:24: {'temperature': 29.7, 'humidity': 0.35}
2023-11-25 21:19:25: {'temperature': 29.7, 'humidity': 0.35}
2023-11-25 21:19:26: {'temperature': 29.7, 'humidity': 0.35}
2023-11-25 21:19:27: {'temperature': 29.6, 'humidity': 0.35}
2023-11-25 21:19:28: {'temperature': 29.6, 'humidity': 0.35}
2023-11-25 21:19:29: {'temperature': 29.6, 'humidity': 0.35}
2023-11-25 21:19:30: {'temperature': 29.6, 'humidity': 0.35}
2023-11-25 21:19:31: {'temperature': 29.6, 'humidity': 0.35}
2023-11-25 21:19:32: {'temperature': 29.5, 'humidity': 0.35}
2023-11-25 21:19:33: {'temperature': 29.5, 'humidity': 0.35}
2023-11-25 21:21:11: {'temperature': 28.8, 'humidity': 0.36}
2023-11-25 21:21:12: {'temperature': 28.8, 'humidity': 0.36}
2023-11-25 21:21:13: {'temperature': 28.8, 'humidity': 0.36}
2023-11-25 21:21:14: {'temperature': 28.8, 'humidity': 0.36}
2023-11-25 21:21:15: {'temperature': 28.8, 'humidity': 0.36}
2023-11-25 21:21:16: {'temperature': 28.8, 'humidity': 0.37}
2023-11-25 21:21:18: {'temperature': 29.3, 'humidity': 0.47}
2023-11-25 21:21:19: {'temperature': 30.3, 'humidity': 0.65}
2023-11-25 21:21:20: {'temperature': 30.8, 'humidity': 0.72}
2023-11-25 21:21:21: {'temperature': 31.3, 'humidity': 0.76}
2023-11-25 21:21:22: {'temperature': 31.9, 'humidity': 0.78}
2023-11-25 21:21:25: {'temperature': 32.2, 'humidity': 0.78} (�쳣����)
2023-11-25 21:21:29: {'temperature': 32.4, 'humidity': 0.71} (�쳣����)
2023-11-25 21:21:33: {'temperature': 32.3, 'humidity': 0.69} (�쳣����)
2023-11-25 21:21:35: {'temperature': 31.7, 'humidity': 0.48}
2023-11-25 21:21:36: {'temperature': 31.5, 'humidity': 0.44}
2023-11-25 21:21:38: {'temperature': 31.3, 'humidity': 0.42}
2023-11-25 21:21:39: {'temperature': 31.2, 'humidity': 0.41}
2023-11-25 21:23:41: {'temperature': 28.4, 'humidity': 0.37}
2023-11-25 21:23:42: {'temperature': 28.4, 'humidity': 0.37}
2023-11-25 21:23:43: {'temperature': 28.9, 'humidity': 0.48}
2023-11-25 21:23:44: {'temperature': 30.7, 'humidity': 0.64}
2023-11-25 21:23:45: {'temperature': 31.6, 'humidity': 0.7}
2023-11-25 21:23:48: {'temperature': 32.2, 'humidity': 0.72} (异常数据)
2023-11-25 21:23:52: {'temperature': 32.9, 'humidity': 0.73} (异常数据)
2023-11-25 21:23:56: {'temperature': 33.1, 'humidity': 0.72} (异常数据)
2023-11-25 21:23:59: {'temperature': 31.8, 'humidity': 0.45}
2023-11-25 21:24:00: {'temperature': 31.6, 'humidity': 0.43}
2023-11-25 21:24:01: {'temperature': 31.5, 'humidity': 0.41}
2023-11-25 21:24:02: {'temperature': 31.3, 'humidity': 0.39}
2023-11-25 21:24:03: {'temperature': 31.2, 'humidity': 0.39}
2023-11-25 21:24:04: {'temperature': 31.1, 'humidity': 0.38}
2023-11-25 21:24:05: {'temperature': 31.0, 'humidity': 0.37}
2023-11-25 21:24:06: {'temperature': 30.9, 'humidity': 0.37}
2023-11-25 21:24:07: {'temperature': 30.8, 'humidity': 0.37}
2023-11-25 21:24:08: {'temperature': 30.6, 'humidity': 0.37}
2023-11-25 21:24:09: {'temperature': 30.6, 'humidity': 0.36}
2023-11-25 21:24:10: {'temperature': 30.5, 'humidity': 0.36}
2023-11-25 21:24:11: {'temperature': 30.5, 'humidity': 0.36}
2023-11-25 21:24:12: {'temperature': 30.4, 'humidity': 0.36}
2023-11-25 21:24:13: {'temperature': 30.3, 'humidity': 0.36}
2023-11-25 21:24:14: {'temperature': 30.3, 'humidity': 0.36}
2023-11-25 21:24:15: {'temperature': 30.2, 'humidity': 0.36}
2023-11-25 21:24:16: {'temperature': 30.2, 'humidity': 0.36}
2023-11-25 21:24:17: {'temperature': 30.1, 'humidity': 0.36}
2023-11-25 21:24:18: {'temperature': 30.1, 'humidity': 0.36}
2023-11-25 21:24:20: {'temperature': 30.1, 'humidity': 0.36}
2023-11-25 21:24:21: {'temperature': 30.0, 'humidity': 0.36}
2023-11-25 21:24:22: {'temperature': 30.0, 'humidity': 0.36}
2023-11-25 21:24:23: {'temperature': 30.0, 'humidity': 0.36}
2023-11-25 21:24:24: {'temperature': 30.0, 'humidity': 0.36}
2023-11-25 21:24:25: {'temperature': 29.9, 'humidity': 0.35}
2023-11-25 21:24:26: {'temperature': 29.9, 'humidity': 0.35}
2023-11-25 21:24:27: {'temperature': 29.9, 'humidity': 0.35}
2023-11-25 23:45:22: {'temperature': 29.3, 'humidity': 0.37}
2023-11-25 23:45:23: {'temperature': 29.3, 'humidity': 0.4}
2023-11-25 23:45:24: {'temperature': 29.4, 'humidity': 0.45}
2023-11-25 23:45:25: {'temperature': 29.7, 'humidity': 0.59}
2023-11-25 23:45:26: {'temperature': 29.7, 'humidity': 0.59}
2023-11-25 23:45:27: {'temperature': 30.3, 'humidity': 0.72}
2023-11-25 23:45:30: {'temperature': 30.8, 'humidity': 0.81} (异常数据)
2023-11-25 23:45:34: {'temperature': 31.0, 'humidity': 0.81} (异常数据)
2023-11-25 23:45:36: {'temperature': 30.0, 'humidity': 0.66}
2023-11-25 23:45:37: {'temperature': 29.9, 'humidity': 0.63}
2023-11-25 23:45:38: {'temperature': 29.8, 'humidity': 0.6}
2023-11-25 23:45:40: {'temperature': 29.8, 'humidity': 0.58}
2023-11-25 23:45:41: {'temperature': 29.9, 'humidity': 0.58}
2023-11-25 23:45:42: {'temperature': 29.8, 'humidity': 0.56}
2023-11-25 23:45:43: {'temperature': 29.7, 'humidity': 0.53}
2023-11-25 23:45:44: {'temperature': 29.6, 'humidity': 0.5}
2023-11-25 23:45:45: {'temperature': 29.6, 'humidity': 0.48}
2023-11-25 23:45:46: {'temperature': 29.5, 'humidity': 0.46}
2023-11-25 23:45:47: {'temperature': 29.4, 'humidity': 0.44}
2023-11-25 23:45:48: {'temperature': 29.4, 'humidity': 0.43}
2023-11-25 23:45:49: {'temperature': 29.4, 'humidity': 0.42}
2023-11-25 23:45:50: {'temperature': 29.4, 'humidity': 0.42}
2023-11-25 23:45:51: {'temperature': 29.4, 'humidity': 0.41}
2023-11-25 23:45:52: {'temperature': 29.3, 'humidity': 0.41}
2023-11-25 23:45:53: {'temperature': 29.3, 'humidity': 0.4}
2023-11-25 23:45:54: {'temperature': 29.3, 'humidity': 0.4}
2023-11-25 23:45:55: {'temperature': 29.2, 'humidity': 0.4}
2023-11-25 23:45:56: {'temperature': 29.1, 'humidity': 0.39}
2023-11-25 23:45:57: {'temperature': 29.1, 'humidity': 0.39}
2023-11-25 23:45:58: {'temperature': 29.0, 'humidity': 0.39}
2023-11-25 23:46:00: {'temperature': 29.0, 'humidity': 0.39}
2023-11-25 23:46:01: {'temperature': 28.9, 'humidity': 0.39}
2023-11-25 23:46:02: {'temperature': 29.0, 'humidity': 0.39}
2023-11-25 23:46:03: {'temperature': 29.0, 'humidity': 0.39}
2023-11-25 23:46:04: {'temperature': 29.0, 'humidity': 0.39}
2023-11-25 23:46:05: {'temperature': 28.9, 'humidity': 0.38}
2023-11-25 23:46:06: {'temperature': 28.9, 'humidity': 0.38}
2023-11-25 23:46:07: {'temperature': 28.9, 'humidity': 0.38}
2023-11-25 23:46:08: {'temperature': 28.9, 'humidity': 0.38}
2023-11-25 23:46:09: {'temperature': 28.8, 'humidity': 0.38}
2023-11-25 23:46:10: {'temperature': 28.9, 'humidity': 0.38}
2023-11-25 23:46:11: {'temperature': 28.9, 'humidity': 0.38}
2023-11-25 23:46:12: {'temperature': 28.8, 'humidity': 0.38}
2023-11-25 23:46:13: {'temperature': 28.8, 'humidity': 0.38}
2023-11-25 23:46:14: {'temperature': 28.7, 'humidity': 0.38}
2023-11-25 23:46:15: {'temperature': 28.7, 'humidity': 0.38}
2023-11-25 23:46:16: {'temperature': 28.8, 'humidity': 0.38}
2023-11-25 23:46:17: {'temperature': 28.7, 'humidity': 0.38}
2023-11-25 23:46:18: {'temperature': 28.7, 'humidity': 0.39}
2023-11-25 23:46:20: {'temperature': 28.7, 'humidity': 0.39}
2023-11-25 23:46:21: {'temperature': 28.6, 'humidity': 0.39}
2023-11-25 23:46:22: {'temperature': 28.6, 'humidity': 0.39}
2023-11-25 23:46:23: {'temperature': 28.5, 'humidity': 0.39}
2023-11-25 23:46:24: {'temperature': 28.6, 'humidity': 0.39}
2023-11-25 23:46:25: {'temperature': 28.5, 'humidity': 0.39}
2023-11-25 23:46:26: {'temperature': 28.5, 'humidity': 0.39}
2023-11-25 23:46:27: {'temperature': 28.4, 'humidity': 0.39}
2023-11-25 23:46:28: {'temperature': 28.4, 'humidity': 0.39}
2023-11-25 23:46:29: {'temperature': 28.4, 'humidity': 0.39}
2023-11-25 23:46:30: {'temperature': 28.3, 'humidity': 0.39}
2023-11-25 23:46:31: {'temperature': 28.3, 'humidity': 0.39}
2023-11-25 23:46:32: {'temperature': 28.2, 'humidity': 0.39}
2023-11-25 23:46:33: {'temperature': 28.2, 'humidity': 0.39}
2023-11-25 23:46:34: {'temperature': 28.2, 'humidity': 0.39}
2023-11-25 23:46:35: {'temperature': 28.2, 'humidity': 0.39}
2023-11-25 23:46:36: {'temperature': 28.2, 'humidity': 0.38}
2023-11-25 23:46:37: {'temperature': 28.2, 'humidity': 0.38}
2023-11-25 23:46:38: {'temperature': 28.2, 'humidity': 0.38}
2023-11-25 23:46:40: {'temperature': 28.2, 'humidity': 0.38}
2023-11-25 23:46:41: {'temperature': 28.1, 'humidity': 0.38}
2023-11-25 23:46:42: {'temperature': 28.1, 'humidity': 0.38}
2023-11-25 23:46:43: {'temperature': 28.1, 'humidity': 0.38}
2023-11-25 23:46:44: {'temperature': 28.0, 'humidity': 0.39}
2023-11-25 23:46:45: {'temperature': 28.0, 'humidity': 0.39}
2023-11-25 23:46:46: {'temperature': 27.9, 'humidity': 0.39}
2023-11-25 23:46:47: {'temperature': 27.9, 'humidity': 0.39}
2023-11-25 23:46:48: {'temperature': 27.8, 'humidity': 0.38}
2023-11-25 23:46:49: {'temperature': 27.8, 'humidity': 0.38}
2023-11-25 23:46:50: {'temperature': 27.7, 'humidity': 0.38}
2023-11-25 23:46:51: {'temperature': 27.6, 'humidity': 0.38}
2023-11-25 23:46:52: {'temperature': 27.6, 'humidity': 0.39}
2023-11-25 23:46:53: {'temperature': 27.5, 'humidity': 0.39}
2023-11-25 23:46:54: {'temperature': 27.5, 'humidity': 0.39}
2023-11-25 23:46:55: {'temperature': 27.5, 'humidity': 0.39}
2023-11-25 23:46:56: {'temperature': 27.5, 'humidity': 0.39}
2023-11-25 23:46:57: {'temperature': 27.4, 'humidity': 0.39}
2023-11-25 23:46:58: {'temperature': 27.4, 'humidity': 0.39}
2023-11-25 23:47:00: {'temperature': 27.4, 'humidity': 0.39}
2023-11-25 23:47:01: {'temperature': 27.3, 'humidity': 0.39}
2023-11-25 23:47:02: {'temperature': 27.3, 'humidity': 0.39}
2023-11-25 23:47:03: {'temperature': 27.3, 'humidity': 0.39}
2023-11-25 23:47:04: {'temperature': 27.3, 'humidity': 0.39}
2023-11-25 23:49:32: {'temperature': 27.9, 'humidity': 0.38}
2023-11-25 23:49:33: {'temperature': 27.9, 'humidity': 0.39}
2023-11-25 23:49:35: {'temperature': 28.0, 'humidity': 0.39}
2023-11-25 23:49:36: {'temperature': 28.0, 'humidity': 0.38}
2023-11-25 23:49:37: {'temperature': 28.0, 'humidity': 0.38}
2023-11-25 23:49:38: {'temperature': 28.0, 'humidity': 0.38}
2023-11-25 23:49:39: {'temperature': 28.0, 'humidity': 0.38}
2023-11-25 23:49:40: {'temperature': 27.9, 'humidity': 0.38}
2023-11-25 23:49:41: {'temperature': 27.9, 'humidity': 0.38}
2023-11-25 23:49:42: {'temperature': 27.9, 'humidity': 0.38}
2023-11-25 23:49:43: {'temperature': 27.9, 'humidity': 0.38}
2023-11-25 23:49:44: {'temperature': 27.9, 'humidity': 0.38}
2023-11-25 23:49:45: {'temperature': 27.9, 'humidity': 0.38}
2023-11-25 23:49:46: {'temperature': 27.9, 'humidity': 0.38}
2023-11-25 23:50:36: {'temperature': 29.2, 'humidity': 0.53}
2023-11-25 23:50:37: {'temperature': 29.3, 'humidity': 0.54}
2023-11-25 23:50:38: {'temperature': 29.2, 'humidity': 0.5}
2023-11-25 23:50:39: {'temperature': 29.2, 'humidity': 0.46}
2023-11-25 23:50:40: {'temperature': 29.3, 'humidity': 0.48}
2023-11-25 23:50:41: {'temperature': 29.4, 'humidity': 0.52}
2023-11-25 23:50:42: {'temperature': 29.4, 'humidity': 0.54}
2023-11-25 23:50:44: {'temperature': 29.4, 'humidity': 0.53}
2023-11-25 23:50:45: {'temperature': 29.5, 'humidity': 0.54}
2023-11-25 23:50:46: {'temperature': 29.6, 'humidity': 0.56}
2023-11-25 23:50:47: {'temperature': 29.6, 'humidity': 0.58}
2023-11-25 23:50:48: {'temperature': 29.6, 'humidity': 0.58}
2023-11-25 23:50:49: {'temperature': 29.7, 'humidity': 0.57}
2023-11-25 23:50:50: {'temperature': 29.7, 'humidity': 0.58}
2023-11-25 23:50:51: {'temperature': 29.7, 'humidity': 0.59}
2023-11-25 23:50:52: {'temperature': 29.8, 'humidity': 0.6}
2023-11-25 23:50:53: {'temperature': 29.8, 'humidity': 0.61}
